"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","1,994.86","1,994.86","1,994.86","1,994.86","-","0.47%"
"Apr 20, 2020","1,985.54","1,985.54","1,985.54","1,985.54","-","0.59%"
"Apr 17, 2020","1,973.82","1,973.82","1,973.82","1,973.82","-","0.26%"
"Apr 16, 2020","1,968.78","1,968.78","1,968.78","1,968.78","-","-0.79%"
"Apr 15, 2020","1,984.40","1,984.40","1,984.40","1,984.40","-","0.72%"
"Apr 14, 2020","1,970.26","1,970.26","1,970.26","1,970.26","-","0.16%"
"Apr 09, 2020","1,967.13","1,967.13","1,967.13","1,967.13","-","-0.05%"
"Apr 08, 2020","1,968.19","1,968.19","1,968.19","1,968.19","-","-0.72%"
"Apr 07, 2020","1,982.50","1,982.50","1,982.50","1,982.50","-","-1.67%"
"Apr 06, 2020","2,016.20","2,016.20","2,016.20","2,016.20","-","0.15%"
"Apr 03, 2020","2,013.19","2,013.19","2,013.19","2,013.19","-","1.41%"
"Apr 02, 2020","1,985.27","1,985.27","1,985.27","1,985.27","-","0.88%"
"Apr 01, 2020","1,967.93","1,967.93","1,967.93","1,967.93","-","0.09%"
"Mar 31, 2020","1,966.12","1,966.12","1,966.12","1,966.12","-","1.83%"
"Mar 30, 2020","1,930.75","1,930.75","1,930.75","1,930.75","-","0.68%"
"Mar 27, 2020","1,917.67","1,917.67","1,917.67","1,917.67","-","1.39%"
"Mar 26, 2020","1,891.30","1,891.30","1,891.30","1,891.30","-","0.95%"
"Mar 25, 2020","1,873.47","1,873.47","1,873.47","1,873.47","-","-0.73%"
"Mar 24, 2020","1,887.17","1,887.17","1,887.17","1,887.17","-","-3.64%"
"Mar 23, 2020","1,958.55","1,958.55","1,958.55","1,958.55","-","-3.30%"
"Mar 20, 2020","2,025.31","2,025.31","2,025.31","2,025.31","-","-0.35%"
"Mar 19, 2020","2,032.34","2,032.34","2,032.34","2,032.34","-","-0.81%"
"Mar 18, 2020","2,048.87","2,048.87","2,048.87","2,048.87","-","-0.19%"
"Mar 17, 2020","2,052.85","2,052.85","2,052.85","2,052.85","-","-0.25%"
